Game ID,Team,Player ID,Player,Lineup Position,G,PO,TC,A,E,CI,PB,SBA,CSB,IDP,TP
4509750,Richmond,1977459,"Balducci, Antonio",P,1,0,0,0,0,0,0,0,1,0,0
4509750,Richmond,1977493,"Lowe, Collin",P,1,0,0,0,0,0,0,0,0,0,0
4509750,Richmond,1863970,"Hulbert, James",P,1,0,0,0,0,0,0,1,0,0,0
4509750,Richmond,1774367,"Light, Dalton",P,1,0,1,1,0,0,0,0,0,0,0
4509750,Richmond,1977500,"DeLarso, Jarrad",P,1,0,2,2,0,0,0,0,1,0,0
4509750,Richmond,1863962,"Schipper, Lowell",P,1,0,0,0,0,0,0,0,0,0,0
4509750,Richmond,,Totals,0,1,27,45,15,3,0,0,1,2,0,0
4513054,Fordham,1987814,"Snelling, Colton",LFRF,1,0,0,0,0,0,0,0,0,0,0
4513054,Fordham,1870177,"Godrick, Billy",LF,1,0,0,0,0,0,0,0,0,0,0
4513054,Fordham,1870172,"Baker, Jake",CF,1,2,3,0,1,0,0,0,0,0,0
4513054,Fordham,1987827,"Spampinato, David",PH,1,0,0,0,0,0,0,0,0,0,0
4513054,Fordham,1870168,"Melendez, Alvin",RF,1,4,4,0,0,0,0,0,0,0,0
4513054,Fordham,1870170,"Tarabek, Matt",SS,1,3,6,2,1,0,0,0,0,1,0
4513054,Fordham,1870174,"Doria, Domenico",PHC,1,4,4,0,0,0,0,0,0,0,0
4513054,Fordham,1759705,"Bardwell, Justin",C,1,6,8,2,0,0,0,1,1,0,0
4513054,Fordham,1977574,"MacKenzie, Jake",2BLF,1,0,1,1,0,0,0,0,0,0,0
